resume_id,version,changed_signal,job_id,job_title,blind_changed_score,blind_original_score,blind_score_difference,blind_absolute_difference
R1,name_changed,name,J1,Software Engineer,0.5279465,0.5279465,0.0,0.0
R1,name_changed,name,J2,Financial Analyst,0.19786957,0.19786957,0.0,0.0
R1,name_changed,name,J3,Marketing Coordinator,0.31979468,0.31979468,0.0,0.0
R1,name_changed,name,J4,Clinical Data Analyst,0.36482394,0.36482394,0.0,0.0
R1,name_changed,name,J5,Academic Advisor,0.32395762,0.32395762,0.0,0.0
R1,pronoun_changed,pronoun,J1,Software Engineer,0.5390453,0.5279465,0.011098802,0.011098802
R1,pronoun_changed,pronoun,J2,Financial Analyst,0.19861783,0.19786957,0.0007482618,0.0007482618
R1,pronoun_changed,pronoun,J3,Marketing Coordinator,0.31128424,0.31979468,-0.008510441,0.008510441
R1,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.36645976,0.36482394,0.0016358197,0.0016358197
R1,pronoun_changed,pronoun,J5,Academic Advisor,0.32161728,0.32395762,-0.0023403466,0.0023403466
R1,university_changed,university,J1,Software Engineer,0.5279465,0.5279465,0.0,0.0
R1,university_changed,university,J2,Financial Analyst,0.19786957,0.19786957,0.0,0.0
R1,university_changed,university,J3,Marketing Coordinator,0.31979468,0.31979468,0.0,0.0
R1,university_changed,university,J4,Clinical Data Analyst,0.36482394,0.36482394,0.0,0.0
R1,university_changed,university,J5,Academic Advisor,0.32395762,0.32395762,0.0,0.0
R2,name_changed,name,J1,Software Engineer,0.55754316,0.55754316,0.0,0.0
R2,name_changed,name,J2,Financial Analyst,0.15165822,0.15165822,0.0,0.0
R2,name_changed,name,J3,Marketing Coordinator,0.30028278,0.30028278,0.0,0.0
R2,name_changed,name,J4,Clinical Data Analyst,0.29679853,0.29679853,0.0,0.0
R2,name_changed,name,J5,Academic Advisor,0.3088352,0.3088352,0.0,0.0
R2,pronoun_changed,pronoun,J1,Software Engineer,0.554842,0.55754316,-0.0027011633,0.0027011633
R2,pronoun_changed,pronoun,J2,Financial Analyst,0.15450634,0.15165822,0.0028481185,0.0028481185
R2,pronoun_changed,pronoun,J3,Marketing Coordinator,0.31000996,0.30028278,0.00972718,0.00972718
R2,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.29727855,0.29679853,0.000480026,0.000480026
R2,pronoun_changed,pronoun,J5,Academic Advisor,0.31416422,0.3088352,0.005329013,0.005329013
R2,university_changed,university,J1,Software Engineer,0.55754316,0.55754316,0.0,0.0
R2,university_changed,university,J2,Financial Analyst,0.15165822,0.15165822,0.0,0.0
R2,university_changed,university,J3,Marketing Coordinator,0.30028278,0.30028278,0.0,0.0
R2,university_changed,university,J4,Clinical Data Analyst,0.29679853,0.29679853,0.0,0.0
R2,university_changed,university,J5,Academic Advisor,0.3088352,0.3088352,0.0,0.0
R3,name_changed,name,J1,Software Engineer,0.31200075,0.31200075,0.0,0.0
R3,name_changed,name,J2,Financial Analyst,0.4203924,0.4203924,0.0,0.0
R3,name_changed,name,J3,Marketing Coordinator,0.292575,0.292575,0.0,0.0
R3,name_changed,name,J4,Clinical Data Analyst,0.40709084,0.40709084,0.0,0.0
R3,name_changed,name,J5,Academic Advisor,0.2955686,0.2955686,0.0,0.0
R3,pronoun_changed,pronoun,J1,Software Engineer,0.3146236,0.31200075,0.0026228428,0.0026228428
R3,pronoun_changed,pronoun,J2,Financial Analyst,0.41760096,0.4203924,-0.0027914345,0.0027914345
R3,pronoun_changed,pronoun,J3,Marketing Coordinator,0.2865281,0.292575,-0.006046891,0.006046891
R3,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.4057079,0.40709084,-0.001382947,0.001382947
R3,pronoun_changed,pronoun,J5,Academic Advisor,0.2905438,0.2955686,-0.0050247908,0.0050247908
R3,university_changed,university,J1,Software Engineer,0.31200075,0.31200075,0.0,0.0
R3,university_changed,university,J2,Financial Analyst,0.4203924,0.4203924,0.0,0.0
R3,university_changed,university,J3,Marketing Coordinator,0.292575,0.292575,0.0,0.0
R3,university_changed,university,J4,Clinical Data Analyst,0.40709084,0.40709084,0.0,0.0
R3,university_changed,university,J5,Academic Advisor,0.2955686,0.2955686,0.0,0.0
R4,name_changed,name,J1,Software Engineer,0.27052343,0.27052343,0.0,0.0
R4,name_changed,name,J2,Financial Analyst,0.45007032,0.45007032,0.0,0.0
R4,name_changed,name,J3,Marketing Coordinator,0.29289326,0.29289326,0.0,0.0
R4,name_changed,name,J4,Clinical Data Analyst,0.4756668,0.4756668,0.0,0.0
R4,name_changed,name,J5,Academic Advisor,0.280511,0.280511,0.0,0.0
R4,pronoun_changed,pronoun,J1,Software Engineer,0.26878983,0.27052343,-0.0017336011,0.0017336011
R4,pronoun_changed,pronoun,J2,Financial Analyst,0.45383298,0.45007032,0.0037626624,0.0037626624
R4,pronoun_changed,pronoun,J3,Marketing Coordinator,0.300227,0.29289326,0.0073337257,0.0073337257
R4,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.47831023,0.4756668,0.0026434362,0.0026434362
R4,pronoun_changed,pronoun,J5,Academic Advisor,0.2823678,0.280511,0.0018568039,0.0018568039
R4,university_changed,university,J1,Software Engineer,0.27052343,0.27052343,0.0,0.0
R4,university_changed,university,J2,Financial Analyst,0.45007032,0.45007032,0.0,0.0
R4,university_changed,university,J3,Marketing Coordinator,0.29289326,0.29289326,0.0,0.0
R4,university_changed,university,J4,Clinical Data Analyst,0.4756668,0.4756668,0.0,0.0
R4,university_changed,university,J5,Academic Advisor,0.280511,0.280511,0.0,0.0
R5,name_changed,name,J1,Software Engineer,0.27973652,0.27973652,0.0,0.0
R5,name_changed,name,J2,Financial Analyst,0.1906507,0.1906507,0.0,0.0
R5,name_changed,name,J3,Marketing Coordinator,0.4524493,0.4524493,0.0,0.0
R5,name_changed,name,J4,Clinical Data Analyst,0.24563304,0.24563304,0.0,0.0
R5,name_changed,name,J5,Academic Advisor,0.28639722,0.28639722,0.0,0.0
R5,pronoun_changed,pronoun,J1,Software Engineer,0.28012878,0.27973652,0.00039225817,0.00039225817
R5,pronoun_changed,pronoun,J2,Financial Analyst,0.18946399,0.1906507,-0.0011867136,0.0011867136
R5,pronoun_changed,pronoun,J3,Marketing Coordinator,0.44544965,0.4524493,-0.0069996417,0.0069996417
R5,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.24329624,0.24563304,-0.0023368,0.0023368
R5,pronoun_changed,pronoun,J5,Academic Advisor,0.28532517,0.28639722,-0.0010720491,0.0010720491
R5,university_changed,university,J1,Software Engineer,0.27973652,0.27973652,0.0,0.0
R5,university_changed,university,J2,Financial Analyst,0.1906507,0.1906507,0.0,0.0
R5,university_changed,university,J3,Marketing Coordinator,0.4524493,0.4524493,0.0,0.0
R5,university_changed,university,J4,Clinical Data Analyst,0.24563304,0.24563304,0.0,0.0
R5,university_changed,university,J5,Academic Advisor,0.28639722,0.28639722,0.0,0.0
R6,name_changed,name,J1,Software Engineer,0.2859748,0.2859748,0.0,0.0
R6,name_changed,name,J2,Financial Analyst,0.20441315,0.20441315,0.0,0.0
R6,name_changed,name,J3,Marketing Coordinator,0.49454504,0.49454504,0.0,0.0
R6,name_changed,name,J4,Clinical Data Analyst,0.3569549,0.3569549,0.0,0.0
R6,name_changed,name,J5,Academic Advisor,0.2337133,0.2337133,0.0,0.0
R6,pronoun_changed,pronoun,J1,Software Engineer,0.28723752,0.2859748,0.0012627244,0.0012627244
R6,pronoun_changed,pronoun,J2,Financial Analyst,0.2065328,0.20441315,0.0021196604,0.0021196604
R6,pronoun_changed,pronoun,J3,Marketing Coordinator,0.50683725,0.49454504,0.012292206,0.012292206
R6,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.36152333,0.3569549,0.004568428,0.004568428
R6,pronoun_changed,pronoun,J5,Academic Advisor,0.23896465,0.2337133,0.005251348,0.005251348
R6,university_changed,university,J1,Software Engineer,0.2859748,0.2859748,0.0,0.0
R6,university_changed,university,J2,Financial Analyst,0.20441315,0.20441315,0.0,0.0
R6,university_changed,university,J3,Marketing Coordinator,0.49454504,0.49454504,0.0,0.0
R6,university_changed,university,J4,Clinical Data Analyst,0.3569549,0.3569549,0.0,0.0
R6,university_changed,university,J5,Academic Advisor,0.2337133,0.2337133,0.0,0.0
R7,name_changed,name,J1,Software Engineer,0.30316907,0.30316907,0.0,0.0
R7,name_changed,name,J2,Financial Analyst,0.36996168,0.36996168,0.0,0.0
R7,name_changed,name,J3,Marketing Coordinator,0.21188405,0.21188405,0.0,0.0
R7,name_changed,name,J4,Clinical Data Analyst,0.648952,0.648952,0.0,0.0
R7,name_changed,name,J5,Academic Advisor,0.28907925,0.28907925,0.0,0.0
R7,pronoun_changed,pronoun,J1,Software Engineer,0.3065304,0.30316907,0.0033613145,0.0033613145
R7,pronoun_changed,pronoun,J2,Financial Analyst,0.3717106,0.36996168,0.0017489195,0.0017489195
R7,pronoun_changed,pronoun,J3,Marketing Coordinator,0.21063116,0.21188405,-0.0012528896,0.0012528896
R7,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.6463179,0.648952,-0.002634108,0.002634108
R7,pronoun_changed,pronoun,J5,Academic Advisor,0.2886597,0.28907925,-0.0004195571,0.0004195571
R7,university_changed,university,J1,Software Engineer,0.30316907,0.30316907,0.0,0.0
R7,university_changed,university,J2,Financial Analyst,0.36996168,0.36996168,0.0,0.0
R7,university_changed,university,J3,Marketing Coordinator,0.21188405,0.21188405,0.0,0.0
R7,university_changed,university,J4,Clinical Data Analyst,0.648952,0.648952,0.0,0.0
R7,university_changed,university,J5,Academic Advisor,0.28907925,0.28907925,0.0,0.0
R8,name_changed,name,J1,Software Engineer,0.21989195,0.21989195,0.0,0.0
R8,name_changed,name,J2,Financial Analyst,0.3319756,0.3319756,0.0,0.0
R8,name_changed,name,J3,Marketing Coordinator,0.31617904,0.31617904,0.0,0.0
R8,name_changed,name,J4,Clinical Data Analyst,0.5591152,0.5591152,0.0,0.0
R8,name_changed,name,J5,Academic Advisor,0.27039295,0.27039295,0.0,0.0
R8,pronoun_changed,pronoun,J1,Software Engineer,0.21403877,0.21989195,-0.005853176,0.005853176
R8,pronoun_changed,pronoun,J2,Financial Analyst,0.3249979,0.3319756,-0.006977707,0.006977707
R8,pronoun_changed,pronoun,J3,Marketing Coordinator,0.31533742,0.31617904,-0.0008416176,0.0008416176
R8,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.55512685,0.5591152,-0.0039883256,0.0039883256
R8,pronoun_changed,pronoun,J5,Academic Advisor,0.26618052,0.27039295,-0.004212439,0.004212439
R8,university_changed,university,J1,Software Engineer,0.21989195,0.21989195,0.0,0.0
R8,university_changed,university,J2,Financial Analyst,0.3319756,0.3319756,0.0,0.0
R8,university_changed,university,J3,Marketing Coordinator,0.31617904,0.31617904,0.0,0.0
R8,university_changed,university,J4,Clinical Data Analyst,0.5591152,0.5591152,0.0,0.0
R8,university_changed,university,J5,Academic Advisor,0.27039295,0.27039295,0.0,0.0
R9,name_changed,name,J1,Software Engineer,0.21392901,0.21392901,0.0,0.0
R9,name_changed,name,J2,Financial Analyst,0.12781306,0.12781306,0.0,0.0
R9,name_changed,name,J3,Marketing Coordinator,0.3425359,0.3425359,0.0,0.0
R9,name_changed,name,J4,Clinical Data Analyst,0.24467602,0.24467602,0.0,0.0
R9,name_changed,name,J5,Academic Advisor,0.3386442,0.3386442,0.0,0.0
R9,pronoun_changed,pronoun,J1,Software Engineer,0.2170884,0.21392901,0.003159389,0.003159389
R9,pronoun_changed,pronoun,J2,Financial Analyst,0.12774977,0.12781306,-6.328523e-05,6.328523e-05
R9,pronoun_changed,pronoun,J3,Marketing Coordinator,0.33568472,0.3425359,-0.0068511963,0.0068511963
R9,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.24239759,0.24467602,-0.0022784323,0.0022784323
R9,pronoun_changed,pronoun,J5,Academic Advisor,0.34350336,0.3386442,0.0048591495,0.0048591495
R9,university_changed,university,J1,Software Engineer,0.21392901,0.21392901,0.0,0.0
R9,university_changed,university,J2,Financial Analyst,0.12781306,0.12781306,0.0,0.0
R9,university_changed,university,J3,Marketing Coordinator,0.3425359,0.3425359,0.0,0.0
R9,university_changed,university,J4,Clinical Data Analyst,0.24467602,0.24467602,0.0,0.0
R9,university_changed,university,J5,Academic Advisor,0.3386442,0.3386442,0.0,0.0
R10,name_changed,name,J1,Software Engineer,0.277623,0.277623,0.0,0.0
R10,name_changed,name,J2,Financial Analyst,0.23783194,0.23783194,0.0,0.0
R10,name_changed,name,J3,Marketing Coordinator,0.31669855,0.31669855,0.0,0.0
R10,name_changed,name,J4,Clinical Data Analyst,0.30551645,0.30551645,0.0,0.0
R10,name_changed,name,J5,Academic Advisor,0.46041358,0.46041358,0.0,0.0
R10,pronoun_changed,pronoun,J1,Software Engineer,0.27594733,0.277623,-0.0016756654,0.0016756654
R10,pronoun_changed,pronoun,J2,Financial Analyst,0.23847423,0.23783194,0.00064229965,0.00064229965
R10,pronoun_changed,pronoun,J3,Marketing Coordinator,0.32475567,0.31669855,0.008057117,0.008057117
R10,pronoun_changed,pronoun,J4,Clinical Data Analyst,0.30819255,0.30551645,0.0026760995,0.0026760995
R10,pronoun_changed,pronoun,J5,Academic Advisor,0.4592207,0.46041358,-0.0011928678,0.0011928678
R10,university_changed,university,J1,Software Engineer,0.277623,0.277623,0.0,0.0
R10,university_changed,university,J2,Financial Analyst,0.23783194,0.23783194,0.0,0.0
R10,university_changed,university,J3,Marketing Coordinator,0.31669855,0.31669855,0.0,0.0
R10,university_changed,university,J4,Clinical Data Analyst,0.30551645,0.30551645,0.0,0.0
R10,university_changed,university,J5,Academic Advisor,0.46041358,0.46041358,0.0,0.0
